,Age,Date,Draft Year,Player,Position,Season,Seasons in league,Team,Weight,Champion,Season Shorts
233,29,"Apr 2, 1995",1987,David Robinson,C,1994-1995,5,San Antonio Spurs,113,Houston Rockets,1995
234,27,"Mar 26, 1995",1989,Vlade Divac,C,1994-1995,5,Los Angeles Lakers,118,Houston Rockets,1995
235,21,"Mar 19, 1995",1994,Jason Kidd,PG,1994-1995,0,Dallas Mavericks,95,Houston Rockets,1995
236,28,"Mar 12, 1995",1988,Rik Smits,C,1994-1995,6,Indiana Pacers,113,Houston Rockets,1995
237,22,"Mar 5, 1995",1992,Shaquille O'Neal,C,1994-1995,2,Orlando Magic,147,Houston Rockets,1995
238,28,"Feb 26, 1995",1988,Rod Strickland,PG,1994-1995,6,Portland Trail Blazers,79,Houston Rockets,1995
239,32,"Feb 19, 1995",1984,Charles Barkley,PF,1994-1995,10,Phoenix Suns,114,Houston Rockets,1995
240,32,"Feb 5, 1995",1984,Hakeem Olajuwon,C,1994-1995,10,Houston Rockets,115,Houston Rockets,1995
241,32,"Jan 29, 1995",1984,John Stockton,PG,1994-1995,10,Utah Jazz,77,Houston Rockets,1995
242,32,"Jan 22, 1995",1985,Patrick Ewing,C,1994-1995,9,New York Knicks,109,Houston Rockets,1995
243,25,"Jan 15, 1995",1991,Larry Johnson,F,1994-1995,3,Charlotte Hornets,113,Houston Rockets,1995
244,26,"Jan 8, 1995",1990,Gary Payton,G,1994-1995,4,Seattle SuperSonics,81,Houston Rockets,1995
245,32,"Jan 1, 1995",1984,Hakeem Olajuwon,C,1994-1995,10,Houston Rockets,115,Houston Rockets,1995
246,25,"Dec 25, 1994",1990,Cedric Ceballos,SF,1994-1995,4,Los Angeles Lakers,86,Houston Rockets,1995
247,31,"Dec 18, 1994",1985,Karl Malone,PF,1994-1995,9,Utah Jazz,120,Houston Rockets,1995
248,22,"Dec 11, 1994",1993,Jamal Mashburn,SF,1994-1995,1,Dallas Mavericks,112,Houston Rockets,1995
249,22,"Dec 4, 1994",1992,Shaquille O'Neal,C,1994-1995,2,Orlando Magic,147,Houston Rockets,1995
250,23,"Nov 27, 1994",1993,Penny Hardaway,PG,1994-1995,1,Orlando Magic,88,Houston Rockets,1995
251,25,"Nov 20, 1994",1991,Elliot Perry,PG,1994-1995,3,Phoenix Suns,68,Houston Rockets,1995
252,28,"Nov 13, 1994",1989,Tim Hardaway,PG,1994-1995,5,Golden State Warriors,79,Houston Rockets,1995
253,27,"Apr 21, 1996",1990,Dennis Scott,SF,1995-1996,5,Orlando Magic,104,Chicago Bulls,1996
254,23,"Apr 14, 1996",1994,Juwan Howard,PF,1995-1996,1,Washington Bullets,109,Chicago Bulls,1996
255,29,"Apr 7, 1996",1987,Kevin Johnson,PG,1995-1996,8,Phoenix Suns,81,Chicago Bulls,1996
256,31,"Mar 31, 1996",1985,Arvydas Sabonis,C,1995-1996,0,Portland Trail Blazers,126,Chicago Bulls,1996
257,28,"Mar 24, 1996",1991,Chris Gatling,PF,1995-1996,4,Miami Heat,99,Chicago Bulls,1996
258,23,"Mar 17, 1996",1994,Grant Hill,SF,1995-1996,1,Detroit Pistons,102,Chicago Bulls,1996
259,33,"Mar 10, 1996",1984,Michael Jordan,SG,1995-1996,10,Chicago Bulls,97,Chicago Bulls,1996
260,23,"Mar 3, 1996",1992,Shaquille O'Neal,C,1995-1996,3,Orlando Magic,147,Chicago Bulls,1996
261,33,"Mar 3, 1996",1984,Hakeem Olajuwon,C,1995-1996,11,Houston Rockets,115,Chicago Bulls,1996
262,26,"Feb 25, 1996",1989,Shawn Kemp,C,1995-1996,6,Seattle SuperSonics,127,Chicago Bulls,1996
263,31,"Feb 18, 1996",1987,Armen Gilliam,PF,1995-1996,8,New Jersey Nets,104,Chicago Bulls,1996
264,22,"Feb 4, 1996",1994,Jason Kidd,PG,1995-1996,1,Dallas Mavericks,95,Chicago Bulls,1996
265,30,"Jan 28, 1996",1987,Reggie Miller,SG,1995-1996,8,Indiana Pacers,84,Chicago Bulls,1996
266,33,"Jan 21, 1996",1984,Michael Jordan,SG,1995-1996,10,Chicago Bulls,97,Chicago Bulls,1996
267,30,"Jan 14, 1996",1987,David Robinson,C,1995-1996,6,San Antonio Spurs,113,Chicago Bulls,1996
268,29,"Jan 7, 1996",1989,Cliff Robinson,PF,1995-1996,6,Portland Trail Blazers,102,Chicago Bulls,1996
269,32,"Dec 31, 1995",1985,Karl Malone,PF,1995-1996,10,Utah Jazz,120,Chicago Bulls,1996
270,33,"Dec 24, 1995",1984,Michael Jordan,SG,1995-1996,10,Chicago Bulls,97,Chicago Bulls,1996
271,30,"Dec 17, 1995",1987,Scottie Pippen,SF,1995-1996,8,Chicago Bulls,103,Chicago Bulls,1996
272,29,"Dec 10, 1995",1991,Dikembe Mutombo,C,1995-1996,4,Denver Nuggets,118,Chicago Bulls,1996
273,25,"Dec 3, 1995",1991,Terrell Brandon,PG,1995-1996,4,Cleveland Cavaliers,81,Chicago Bulls,1996
274,26,"Nov 26, 1995",1989,Shawn Kemp,C,1995-1996,6,Seattle SuperSonics,127,Chicago Bulls,1996
275,26,"Nov 19, 1995",1990,Cedric Ceballos,SF,1995-1996,5,Los Angeles Lakers,86,Chicago Bulls,1996
276,24,"Nov 12, 1995",1993,Penny Hardaway,PG,1995-1996,2,Orlando Magic,88,Chicago Bulls,1996
277,24,"Apr 20, 1997",1993,Chris Webber,F-C,1996-1997,3,Washington Bullets,111,Chicago Bulls,1997
278,21,"Apr 13, 1997",1996,Allen Iverson,G,1996-1997,0,Philadelphia Sixers,75,Chicago Bulls,1997
279,24,"Apr 6, 1997",1994,Grant Hill,SF,1996-1997,2,Detroit Pistons,102,Chicago Bulls,1997
280,30,"Mar 30, 1997",1987,Kevin Johnson,PG,1996-1997,9,Phoenix Suns,81,Chicago Bulls,1997
281,33,"Mar 23, 1997",1985,Karl Malone,PF,1996-1997,11,Utah Jazz,120,Chicago Bulls,1997
282,33,"Mar 16, 1997",1985,Karl Malone,PF,1996-1997,11,Utah Jazz,120,Chicago Bulls,1997
283,34,"Mar 9, 1997",1985,Patrick Ewing,C,1996-1997,11,New York Knicks,109,Chicago Bulls,1997
284,30,"Mar 2, 1997",1990,Loy Vaught,PF,1996-1997,6,Los Angeles Clippers,104,Chicago Bulls,1997
285,31,"Feb 23, 1997",1987,Scottie Pippen,SF,1996-1997,9,Chicago Bulls,103,Chicago Bulls,1997
286,27,"Feb 16, 1997",1992,Alonzo Mourning,C,1996-1997,4,Miami Heat,109,Chicago Bulls,1997
287,29,"Feb 2, 1997",1989,Glen Rice,SF,1996-1997,7,Charlotte Hornets,103,Chicago Bulls,1997
288,31,"Jan 26, 1997",1988,Mitch Richmond,SG,1996-1997,8,Sacramento Kings,97,Chicago Bulls,1997
289,24,"Jan 19, 1997",1994,Grant Hill,SF,1996-1997,2,Detroit Pistons,102,Chicago Bulls,1997
290,24,"Jan 12, 1997",1994,Glenn Robinson,SF,1996-1997,2,Milwaukee Bucks,102,Chicago Bulls,1997
291,29,"Jan 5, 1997",1989,Glen Rice,SF,1996-1997,7,Charlotte Hornets,103,Chicago Bulls,1997
292,30,"Dec 29, 1996",1989,Tim Hardaway,PG,1996-1997,7,Miami Heat,79,Chicago Bulls,1997
293,26,"Dec 22, 1996",1991,Terrell Brandon,PG,1996-1997,5,Cleveland Cavaliers,81,Chicago Bulls,1997
294,24,"Dec 15, 1996",1992,Shaquille O'Neal,C,1996-1997,4,Los Angeles Lakers,147,Chicago Bulls,1997
295,29,"Dec 8, 1996",1990,Terry Mills,PF,1996-1997,6,Detroit Pistons,104,Chicago Bulls,1997
296,30,"Dec 1, 1996",1991,Dikembe Mutombo,C,1996-1997,5,Atlanta Hawks,118,Chicago Bulls,1997
297,34,"Nov 24, 1996",1984,Charles Barkley,PF,1996-1997,12,Houston Rockets,114,Chicago Bulls,1997
298,33,"Nov 24, 1996",1985,Karl Malone,PF,1996-1997,11,Utah Jazz,120,Chicago Bulls,1997
299,36,"Nov 17, 1996",1983,Dale Ellis,GF,1996-1997,13,Denver Nuggets,93,Chicago Bulls,1997
300,34,"Nov 10, 1996",1984,Hakeem Olajuwon,C,1996-1997,12,Houston Rockets,115,Chicago Bulls,1997
301,24,"Apr 19, 1998",1994,Jason Kidd,PG,1997-1998,3,Phoenix Suns,95,Chicago Bulls,1998
302,28,"Apr 12, 1998",1993,Sam Cassell,G,1997-1998,4,New Jersey Nets,84,Chicago Bulls,1998
303,35,"Apr 5, 1998",1984,Michael Jordan,SG,1997-1998,12,Chicago Bulls,97,Chicago Bulls,1998
304,28,"Mar 29, 1998",1992,Alonzo Mourning,C,1997-1998,5,Miami Heat,109,Chicago Bulls,1998
305,25,"Mar 22, 1998",1992,Shaquille O'Neal,C,1997-1998,5,Los Angeles Lakers,147,Chicago Bulls,1998
306,24,"Mar 15, 1998",1994,Jason Kidd,PG,1997-1998,3,Phoenix Suns,95,Chicago Bulls,1998
307,34,"Mar 8, 1998",1985,Karl Malone,PF,1997-1998,12,Utah Jazz,120,Chicago Bulls,1998
308,21,"Mar 1, 1998",1997,Tim Duncan,FC,1997-1998,0,San Antonio Spurs,113,Chicago Bulls,1998
309,30,"Feb 22, 1998",1989,Nick Anderson,GF,1997-1998,8,Orlando Magic,103,Chicago Bulls,1998
310,34,"Feb 15, 1998",1985,Karl Malone,PF,1997-1998,12,Utah Jazz,120,Chicago Bulls,1998
311,32,"Feb 1, 1998",1987,David Robinson,C,1997-1998,8,San Antonio Spurs,113,Chicago Bulls,1998
312,30,"Jan 25, 1998",1990,Jayson Williams,FC,1997-1998,7,New Jersey Nets,111,Chicago Bulls,1998
313,22,"Jan 18, 1998",1996,Allen Iverson,G,1997-1998,1,Philadelphia Sixers,75,Chicago Bulls,1998
314,28,"Jan 11, 1998",1991,Steve Smith,SG,1997-1998,6,Atlanta Hawks,90,Chicago Bulls,1998
315,31,"Jan 4, 1998",1988,Rik Smits,C,1997-1998,9,Indiana Pacers,113,Chicago Bulls,1998
316,32,"Dec 28, 1997",1987,David Robinson,C,1997-1998,8,San Antonio Spurs,113,Chicago Bulls,1998
317,35,"Dec 21, 1997",1984,Michael Jordan,SG,1997-1998,12,Chicago Bulls,97,Chicago Bulls,1998
318,30,"Dec 14, 1997",1989,Glen Rice,SF,1997-1998,8,Charlotte Hornets,103,Chicago Bulls,1998
319,26,"Dec 7, 1997",1994,Wesley Person,SG,1997-1998,3,Cleveland Cavaliers,88,Chicago Bulls,1998
320,34,"Nov 30, 1997",1985,Karl Malone,PF,1997-1998,12,Utah Jazz,120,Chicago Bulls,1998
321,35,"Nov 23, 1997",1984,Michael Jordan,SG,1997-1998,12,Chicago Bulls,97,Chicago Bulls,1998
322,25,"Nov 16, 1997",1992,Shaquille O'Neal,C,1997-1998,5,Los Angeles Lakers,147,Chicago Bulls,1998
323,31,"Nov 9, 1997",1991,Dikembe Mutombo,C,1997-1998,6,Atlanta Hawks,118,Chicago Bulls,1998
324,26,"May 2, 1999",1994,Grant Hill,SF,1998-1999,4,Detroit Pistons,102,San Antonio Spurs,1999
325,25,"Apr 25, 1999",1993,Chris Webber,F-C,1998-1999,5,Sacramento Kings,111,San Antonio Spurs,1999
326,25,"Apr 18, 1999",1994,Jason Kidd,PG,1998-1999,4,Phoenix Suns,95,San Antonio Spurs,1999
327,35,"Apr 11, 1999",1985,Karl Malone,PF,1998-1999,13,Utah Jazz,120,San Antonio Spurs,1999
328,22,"Apr 4, 1999",1995,Kevin Garnett,PF,1998-1999,3,Minnesota Timberwolves,109,San Antonio Spurs,1999
329,30,"Mar 28, 1999",1991,Darrell Armstrong,PG,1998-1999,4,Orlando Magic,77,San Antonio Spurs,1999
330,22,"Mar 21, 1999",1998,Vince Carter,SF,1998-1999,0,Toronto Raptors,99,San Antonio Spurs,1999
331,29,"Mar 14, 1999",1992,Alonzo Mourning,C,1998-1999,6,Miami Heat,109,San Antonio Spurs,1999
332,22,"Mar 7, 1999",1997,Tim Duncan,FC,1998-1999,1,San Antonio Spurs,113,San Antonio Spurs,1999
333,24,"Feb 28, 1999",1995,Antonio McDyess,F,1998-1999,3,Denver Nuggets,111,San Antonio Spurs,1999
334,22,"Feb 21, 1999",1996,Stephon Marbury,G,1998-1999,2,Minnesota Timberwolves,81,San Antonio Spurs,1999
335,30,"Feb 14, 1999",1990,Gary Payton,G,1998-1999,8,Seattle SuperSonics,81,San Antonio Spurs,1999
336,32,"Feb 7, 1999",1991,Dikembe Mutombo,C,1998-1999,7,Atlanta Hawks,118,San Antonio Spurs,1999
337,21,"Apr 17, 2000",1996,Kobe Bryant,SG,1999-2000,3,Los Angeles Lakers,96,Los Angeles Lakers,2000
338,30,"Apr 10, 2000",1992,Alonzo Mourning,C,1999-2000,7,Miami Heat,109,Los Angeles Lakers,2000
339,23,"Apr 3, 2000",1997,Tim Duncan,FC,1999-2000,2,San Antonio Spurs,113,Los Angeles Lakers,2000
340,23,"Mar 27, 2000",1995,Kevin Garnett,PF,1999-2000,4,Minnesota Timberwolves,109,Los Angeles Lakers,2000
341,27,"Mar 20, 2000",1994,Jalen Rose,G,1999-2000,5,Indiana Pacers,95,Los Angeles Lakers,2000
342,27,"Mar 13, 2000",1992,Shaquille O'Neal,C,1999-2000,7,Los Angeles Lakers,147,Los Angeles Lakers,2000
343,36,"Mar 6, 2000",1985,Karl Malone,PF,1999-2000,14,Utah Jazz,120,Los Angeles Lakers,2000
344,23,"Feb 28, 2000",1998,Vince Carter,SF,1999-2000,1,Toronto Raptors,99,Los Angeles Lakers,2000
345,27,"Feb 22, 2000",1992,Shaquille O'Neal,C,1999-2000,7,Los Angeles Lakers,147,Los Angeles Lakers,2000
346,26,"Feb 7, 2000",1995,Michael Finley,G-F,1999-2000,4,Dallas Mavericks,102,Los Angeles Lakers,2000
347,33,"Jan 31, 2000",1991,Dikembe Mutombo,C,1999-2000,8,Atlanta Hawks,118,Los Angeles Lakers,2000
348,23,"Jan 24, 2000",1999,Steve Francis,G,1999-2000,0,Houston Rockets,88,Los Angeles Lakers,2000
349,27,"Jan 17, 2000",1993,Chris Webber,F-C,1999-2000,6,Sacramento Kings,111,Los Angeles Lakers,2000
350,27,"Jan 10, 2000",1994,Grant Hill,SF,1999-2000,5,Detroit Pistons,102,Los Angeles Lakers,2000
351,27,"Jan 3, 2000",1993,Chris Webber,F-C,1999-2000,6,Sacramento Kings,111,Los Angeles Lakers,2000
352,23,"Dec 27, 1999",1995,Kevin Garnett,PF,1999-2000,4,Minnesota Timberwolves,109,Los Angeles Lakers,2000
353,26,"Dec 20, 1999",1994,Jason Kidd,PG,1999-2000,5,Phoenix Suns,95,Los Angeles Lakers,2000
354,30,"Dec 13, 1999",1992,Alonzo Mourning,C,1999-2000,7,Miami Heat,109,Los Angeles Lakers,2000
355,27,"Dec 5, 1999",1992,Shaquille O'Neal,C,1999-2000,7,Los Angeles Lakers,147,Los Angeles Lakers,2000
356,23,"Nov 28, 1999",1997,Tim Duncan,FC,1999-2000,2,San Antonio Spurs,113,Los Angeles Lakers,2000
357,23,"Nov 21, 1999",1998,Vince Carter,SF,1999-2000,1,Toronto Raptors,99,Los Angeles Lakers,2000
358,23,"Nov 14, 1999",1995,Kevin Garnett,PF,1999-2000,4,Minnesota Timberwolves,109,Los Angeles Lakers,2000
359,30,"Nov 7, 1999",1993,Sam Cassell,G,1999-2000,6,Milwaukee Bucks,84,Los Angeles Lakers,2000
360,25,"Apr 15, 2001",1996,Ray Allen,SG,2000-2001,4,Milwaukee Bucks,93,Los Angeles Lakers,2001
361,28,"Apr 8, 2001",1992,Shaquille O'Neal,C,2000-2001,8,Los Angeles Lakers,147,Los Angeles Lakers,2001
362,27,"Apr 1, 2001",1994,Jason Kidd,PG,2000-2001,6,Phoenix Suns,95,Los Angeles Lakers,2001
363,23,"Mar 25, 2001",1998,Paul Pierce,SF,2000-2001,2,Boston Celtics,106,Los Angeles Lakers,2001
364,25,"Mar 18, 2001",1998,Cuttino Mobley,G,2000-2001,2,Houston Rockets,86,Los Angeles Lakers,2001
365,26,"Mar 11, 2001",1997,Derek Anderson,G,2000-2001,3,San Antonio Spurs,88,Los Angeles Lakers,2001
366,24,"Mar 4, 2001",1998,Vince Carter,SF,2000-2001,2,Toronto Raptors,99,Los Angeles Lakers,2001
367,22,"Feb 25, 2001",1999,Shawn Marion,F,2000-2001,1,Phoenix Suns,103,Los Angeles Lakers,2001
368,25,"Feb 18, 2001",1996,Allen Iverson,G,2000-2001,4,Philadelphia Sixers,75,Los Angeles Lakers,2001
369,32,"Feb 4, 2001",1991,Darrell Armstrong,PG,2000-2001,6,Orlando Magic,77,Los Angeles Lakers,2001
370,24,"Jan 28, 2001",1997,Tim Duncan,FC,2000-2001,3,San Antonio Spurs,113,Los Angeles Lakers,2001
371,28,"Jan 22, 2001",1993,Chris Webber,F-C,2000-2001,7,Sacramento Kings,111,Los Angeles Lakers,2001
372,24,"Jan 14, 2001",1999,Steve Francis,G,2000-2001,1,Houston Rockets,88,Los Angeles Lakers,2001
373,25,"Jan 7, 2001",1996,Allen Iverson,G,2000-2001,4,Philadelphia Sixers,75,Los Angeles Lakers,2001
374,28,"Dec 31, 2000",1994,Aaron McKie,G,2000-2001,6,Philadelphia Sixers,94,Los Angeles Lakers,2001
375,22,"Dec 24, 2000",1996,Kobe Bryant,SG,2000-2001,4,Los Angeles Lakers,96,Los Angeles Lakers,2001
376,28,"Dec 17, 2000",1994,Glenn Robinson,SF,2000-2001,6,Milwaukee Bucks,102,Los Angeles Lakers,2001
377,28,"Dec 10, 2000",1993,Chris Webber,F-C,2000-2001,7,Sacramento Kings,111,Los Angeles Lakers,2001
378,26,"Dec 3, 2000",1995,Antonio McDyess,F,2000-2001,5,Denver Nuggets,111,Los Angeles Lakers,2001
379,21,"Nov 26, 2000",1999,Baron Davis,G,2000-2001,1,Charlotte Hornets,97,Los Angeles Lakers,2001
380,24,"Nov 19, 2000",1995,Kevin Garnett,PF,2000-2001,5,Minnesota Timberwolves,109,Los Angeles Lakers,2001
381,24,"Nov 12, 2000",1996,Stephon Marbury,G,2000-2001,4,New Jersey Nets,81,Los Angeles Lakers,2001
382,37,"Nov 6, 2000",1985,Karl Malone,PF,2000-2001,15,Utah Jazz,120,Los Angeles Lakers,2001
383,38,"Nov 6, 2000",1984,John Stockton,PG,2000-2001,16,Utah Jazz,77,Los Angeles Lakers,2001
384,24,"Apr 7, 2002",1998,Paul Pierce,SF,2001-2002,3,Boston Celtics,106,Los Angeles Lakers,2002
385,25,"Apr 7, 2002",1997,Tim Duncan,FC,2001-2002,4,San Antonio Spurs,113,Los Angeles Lakers,2002
386,27,"Mar 31, 2002",1996,Ben Wallace,FC,2001-2002,5,Detroit Pistons,109,Los Angeles Lakers,2002
387,23,"Mar 31, 2002",1999,Shawn Marion,F,2001-2002,2,Phoenix Suns,103,Los Angeles Lakers,2002
388,28,"Mar 24, 2002",1994,Jason Kidd,PG,2001-2002,7,New Jersey Nets,95,Los Angeles Lakers,2002
389,25,"Mar 24, 2002",1997,Tim Duncan,FC,2001-2002,4,San Antonio Spurs,113,Los Angeles Lakers,2002
390,22,"Mar 17, 2002",1997,Tracy McGrady,GF,2001-2002,4,Orlando Magic,95,Los Angeles Lakers,2002
391,25,"Mar 17, 2002",1997,Tim Duncan,FC,2001-2002,4,San Antonio Spurs,113,Los Angeles Lakers,2002
392,29,"Mar 10, 2002",1995,Kurt Thomas,FC,2001-2002,6,New York Knicks,109,Los Angeles Lakers,2002
393,29,"Mar 10, 2002",1992,Shaquille O'Neal,C,2001-2002,9,Los Angeles Lakers,147,Los Angeles Lakers,2002
394,26,"Mar 3, 2002",1996,Allen Iverson,G,2001-2002,5,Philadelphia Sixers,75,Los Angeles Lakers,2002
395,27,"Mar 3, 2002",1995,Rasheed Wallace,FC,2001-2002,6,Portland Trail Blazers,104,Los Angeles Lakers,2002
396,27,"Feb 24, 2002",1996,Ben Wallace,FC,2001-2002,5,Detroit Pistons,109,Los Angeles Lakers,2002
397,29,"Feb 24, 2002",1992,Shaquille O'Neal,C,2001-2002,9,Los Angeles Lakers,147,Los Angeles Lakers,2002
398,25,"Feb 17, 2002",1999,Andre Miller,PG,2001-2002,2,Cleveland Cavaliers,90,Los Angeles Lakers,2002
399,38,"Feb 17, 2002",1985,Karl Malone,PF,2001-2002,16,Utah Jazz,120,Los Angeles Lakers,2002
400,28,"Feb 3, 2002",1994,Jason Kidd,PG,2001-2002,7,New Jersey Nets,95,Los Angeles Lakers,2002
401,29,"Feb 3, 2002",1992,Shaquille O'Neal,C,2001-2002,9,Los Angeles Lakers,147,Los Angeles Lakers,2002
402,26,"Jan 27, 2002",1996,Allen Iverson,G,2001-2002,5,Philadelphia Sixers,75,Los Angeles Lakers,2002
403,23,"Jan 27, 2002",1998,Dirk Nowitzki,PF,2001-2002,3,Dallas Mavericks,111,Los Angeles Lakers,2002
404,26,"Jan 20, 2002",1996,Allen Iverson,G,2001-2002,5,Philadelphia Sixers,75,Los Angeles Lakers,2002
405,23,"Jan 20, 2002",1996,Kobe Bryant,SG,2001-2002,5,Los Angeles Lakers,96,Los Angeles Lakers,2002
406,26,"Jan 13, 2002",1996,Ray Allen,SG,2001-2002,5,Milwaukee Bucks,93,Los Angeles Lakers,2002
407,25,"Jan 13, 2002",1995,Kevin Garnett,PF,2001-2002,6,Minnesota Timberwolves,109,Los Angeles Lakers,2002
408,30,"Jan 6, 2002",1994,Eddie Jones,G-F,2001-2002,7,Miami Heat,90,Los Angeles Lakers,2002
409,28,"Jan 6, 2002",1993,Chris Webber,F-C,2001-2002,8,Sacramento Kings,111,Los Angeles Lakers,2002
410,28,"Dec 30, 2001",1994,Jason Kidd,PG,2001-2002,7,New Jersey Nets,95,Los Angeles Lakers,2002
411,25,"Dec 30, 2001",1997,Tim Duncan,FC,2001-2002,4,San Antonio Spurs,113,Los Angeles Lakers,2002
412,23,"Dec 23, 2001",1996,Jermaine O'Neal,FC,2001-2002,5,Indiana Pacers,106,Los Angeles Lakers,2002
413,33,"Dec 23, 2001",1990,Gary Payton,G,2001-2002,11,Seattle SuperSonics,81,Los Angeles Lakers,2002
414,24,"Dec 16, 2001",1999,Richard Hamilton,SG,2001-2002,2,Washington Wizards,87,Los Angeles Lakers,2002
415,28,"Dec 16, 2001",1996,Steve Nash,G,2001-2002,5,Dallas Mavericks,80,Los Angeles Lakers,2002
416,25,"Dec 9, 2001",1999,Andre Miller,PG,2001-2002,2,Cleveland Cavaliers,90,Los Angeles Lakers,2002
417,22,"Dec 9, 2001",1999,Elton Brand,PF,2001-2002,2,Los Angeles Clippers,115,Los Angeles Lakers,2002
418,24,"Dec 2, 2001",1998,Paul Pierce,SF,2001-2002,3,Boston Celtics,106,Los Angeles Lakers,2002
419,25,"Dec 2, 2001",1996,Stephon Marbury,G,2001-2002,5,Phoenix Suns,81,Los Angeles Lakers,2002
420,25,"Nov 25, 2001",1996,Shareef Abdur-Rahim,F,2001-2002,5,Atlanta Hawks,102,Los Angeles Lakers,2002
421,25,"Nov 25, 2001",1997,Tim Duncan,FC,2001-2002,4,San Antonio Spurs,113,Los Angeles Lakers,2002
422,26,"Nov 18, 2001",1996,Allen Iverson,G,2001-2002,5,Philadelphia Sixers,75,Los Angeles Lakers,2002
423,25,"Nov 18, 2001",1995,Kevin Garnett,PF,2001-2002,6,Minnesota Timberwolves,109,Los Angeles Lakers,2002
424,25,"Nov 11, 2001",1998,Vince Carter,SF,2001-2002,3,Toronto Raptors,99,Los Angeles Lakers,2002
425,25,"Nov 11, 2001",1997,Tim Duncan,FC,2001-2002,4,San Antonio Spurs,113,Los Angeles Lakers,2002
426,26,"Nov 4, 2001",1996,Ray Allen,SG,2001-2002,5,Milwaukee Bucks,93,Los Angeles Lakers,2002
427,23,"Nov 4, 2001",1996,Kobe Bryant,SG,2001-2002,5,Los Angeles Lakers,96,Los Angeles Lakers,2002
428,23,"Apr 13, 2003",1997,Tracy McGrady,GF,2002-2003,5,Orlando Magic,95,San Antonio Spurs,2003
429,24,"Apr 13, 2003",1999,Shawn Marion,F,2002-2003,3,Phoenix Suns,103,San Antonio Spurs,2003
430,29,"Apr 6, 2003",1994,Jason Kidd,PG,2002-2003,8,New Jersey Nets,95,San Antonio Spurs,2003
431,30,"Apr 6, 2003",1992,Shaquille O'Neal,C,2002-2003,10,Los Angeles Lakers,147,San Antonio Spurs,2003
432,22,"Mar 30, 2003",2001,Richard Jefferson,SF,2002-2003,1,New Jersey Nets,105,San Antonio Spurs,2003
433,26,"Mar 30, 2003",1997,Tim Duncan,FC,2002-2003,5,San Antonio Spurs,113,San Antonio Spurs,2003
434,28,"Mar 23, 2003",1996,Ben Wallace,FC,2002-2003,6,Detroit Pistons,109,San Antonio Spurs,2003
435,25,"Mar 23, 2003",1996,Peja Stojakovic,F,2002-2003,4,Sacramento Kings,104,San Antonio Spurs,2003
436,27,"Mar 16, 2003",1996,Allen Iverson,G,2002-2003,6,Philadelphia Sixers,75,San Antonio Spurs,2003
437,26,"Mar 16, 2003",1999,Steve Francis,G,2002-2003,3,Houston Rockets,88,San Antonio Spurs,2003
438,23,"Mar 9, 2003",1997,Tracy McGrady,GF,2002-2003,5,Orlando Magic,95,San Antonio Spurs,2003
439,30,"Mar 9, 2003",1992,Shaquille O'Neal,C,2002-2003,10,Los Angeles Lakers,147,San Antonio Spurs,2003
440,40,"Mar 2, 2003",1984,Michael Jordan,SG,2002-2003,14,Washington Wizards,97,San Antonio Spurs,2003
441,27,"Mar 2, 2003",1996,Ray Allen,SG,2002-2003,6,Seattle SuperSonics,93,San Antonio Spurs,2003
442,23,"Feb 23, 2003",1997,Tracy McGrady,GF,2002-2003,5,Orlando Magic,95,San Antonio Spurs,2003
443,24,"Feb 23, 2003",1996,Kobe Bryant,SG,2002-2003,6,Los Angeles Lakers,96,San Antonio Spurs,2003
444,31,"Feb 16, 2003",1993,Allan Houston,G,2002-2003,9,New York Knicks,93,San Antonio Spurs,2003
445,26,"Feb 16, 2003",1997,Tim Duncan,FC,2002-2003,5,San Antonio Spurs,113,San Antonio Spurs,2003
446,26,"Feb 2, 2003",1997,Chauncey Billups,G,2002-2003,5,Detroit Pistons,95,San Antonio Spurs,2003
447,24,"Feb 2, 2003",1996,Kobe Bryant,SG,2002-2003,6,Los Angeles Lakers,96,San Antonio Spurs,2003
448,25,"Jan 26, 2003",1998,Paul Pierce,SF,2002-2003,4,Boston Celtics,106,San Antonio Spurs,2003
449,26,"Jan 26, 2003",1997,Tim Duncan,FC,2002-2003,5,San Antonio Spurs,113,San Antonio Spurs,2003
450,26,"Jan 19, 2003",1996,Antoine Walker,F,2002-2003,6,Boston Celtics,120,San Antonio Spurs,2003
451,26,"Jan 19, 2003",1999,Steve Francis,G,2002-2003,3,Houston Rockets,88,San Antonio Spurs,2003
452,24,"Jan 12, 2003",1996,Jermaine O'Neal,FC,2002-2003,6,Indiana Pacers,106,San Antonio Spurs,2003
453,24,"Jan 12, 2003",1996,Kobe Bryant,SG,2002-2003,6,Los Angeles Lakers,96,San Antonio Spurs,2003
454,26,"Jan 12, 2003",1996,Stephon Marbury,G,2002-2003,6,Phoenix Suns,81,San Antonio Spurs,2003
455,40,"Jan 5, 2003",1984,Michael Jordan,SG,2002-2003,14,Washington Wizards,97,San Antonio Spurs,2003
456,24,"Jan 5, 2003",1998,Dirk Nowitzki,PF,2002-2003,4,Dallas Mavericks,111,San Antonio Spurs,2003
457,32,"Dec 29, 2002",1993,Lucious Harris,SG,2002-2003,9,New Jersey Nets,86,San Antonio Spurs,2003
458,26,"Dec 29, 2002",1997,Tim Duncan,FC,2002-2003,5,San Antonio Spurs,113,San Antonio Spurs,2003
